date,market,rainfall_mm
1981-01-01,Kisumu,2.2228654
1981-02-01,Kisumu,5.0815244999999996
1981-03-01,Kisumu,132.3589003
1981-04-01,Kisumu,192.799326
1981-05-01,Kisumu,63.085867
1981-06-01,Kisumu,8.864689
1981-07-01,Kisumu,10.5762179
1981-08-01,Kisumu,9.0475159
1981-09-01,Kisumu,10.1683551
1981-10-01,Kisumu,29.431741
1981-11-01,Kisumu,35.7679695
1981-12-01,Kisumu,14.9194405
1982-01-01,Kisumu,3.1005789
1982-02-01,Kisumu,4.4903521699999995
1982-03-01,Kisumu,15.9804627
1982-04-01,Kisumu,121.867823
1982-05-01,Kisumu,71.667631
1982-06-01,Kisumu,13.2139412
1982-07-01,Kisumu,10.3080075
1982-08-01,Kisumu,4.4322238
1982-09-01,Kisumu,11.2426435
1982-10-01,Kisumu,131.14978200000002
1982-11-01,Kisumu,109.52243200000001
1982-12-01,Kisumu,23.709117499999998
1983-01-01,Kisumu,3.54196814
1983-02-01,Kisumu,7.229619
1983-03-01,Kisumu,6.909069000000001
1983-04-01,Kisumu,68.40907100000001
1983-05-01,Kisumu,55.77641
1983-06-01,Kisumu,12.4056926
1983-07-01,Kisumu,10.604679
1983-08-01,Kisumu,6.4488665
1983-09-01,Kisumu,10.308490299999999
1983-10-01,Kisumu,20.312831600000003
1983-11-01,Kisumu,35.2525326
1983-12-01,Kisumu,24.899421999999998
1984-01-01,Kisumu,2.9105160999999997
1984-02-01,Kisumu,4.09141337
1984-03-01,Kisumu,9.4085864
1984-04-01,Kisumu,66.462854
1984-05-01,Kisumu,29.051856899999997
1984-06-01,Kisumu,14.2223829
1984-07-01,Kisumu,10.852629
1984-08-01,Kisumu,3.7067053
1984-09-01,Kisumu,7.3174144000000005
1984-10-01,Kisumu,42.782924
1984-11-01,Kisumu,119.757835
1984-12-01,Kisumu,31.253738
1985-01-01,Kisumu,4.6922335
1985-02-01,Kisumu,6.1085383
1985-03-01,Kisumu,53.5880352
1985-04-01,Kisumu,115.746505
1985-05-01,Kisumu,55.325134999999996
1985-06-01,Kisumu,6.7127352
1985-07-01,Kisumu,9.8386401
1985-08-01,Kisumu,7.8043897
1985-09-01,Kisumu,7.1666666999999995
1985-10-01,Kisumu,25.9001445
1985-11-01,Kisumu,38.092618
1985-12-01,Kisumu,14.9570671
1986-01-01,Kisumu,2.98118665
1986-02-01,Kisumu,4.150024
1986-03-01,Kisumu,26.1447173
1986-04-01,Kisumu,155.19801999999999
1986-05-01,Kisumu,53.539798000000005
1986-06-01,Kisumu,8.531355300000001
1986-07-01,Kisumu,7.9722622
1986-08-01,Kisumu,5.7848527999999995
1986-09-01,Kisumu,7.084418899999999
1986-10-01,Kisumu,22.260491899999998
1986-11-01,Kisumu,89.87602369999999
1986-12-01,Kisumu,55.4529655
1987-01-01,Kisumu,7.5479981
1987-02-01,Kisumu,3.9131693
1987-03-01,Kisumu,15.7267241
1987-04-01,Kisumu,95.65484699999999
1987-05-01,Kisumu,87.76218
1987-06-01,Kisumu,9.1582249
1987-07-01,Kisumu,11.0976848
1987-08-01,Kisumu,11.1010613
1987-09-01,Kisumu,6.0438979
1987-10-01,Kisumu,13.8063191
1987-11-01,Kisumu,42.477569
1987-12-01,Kisumu,11.5962369
1988-01-01,Kisumu,7.527978699999999
1988-02-01,Kisumu,4.8415341000000005
1988-03-01,Kisumu,46.733963
1988-04-01,Kisumu,164.596236
1988-05-01,Kisumu,22.99397
1988-06-01,Kisumu,12.505065
1988-07-01,Kisumu,8.283647
1988-08-01,Kisumu,5.1051614999999995
1988-09-01,Kisumu,10.5663291
1988-10-01,Kisumu,28.3417766
1988-11-01,Kisumu,65.314519
1988-12-01,Kisumu,53.411239
1989-01-01,Kisumu,8.6396524
1989-02-01,Kisumu,5.3999034
1989-03-01,Kisumu,24.9454893
1989-04-01,Kisumu,117.895322
1989-05-01,Kisumu,49.582972
1989-06-01,Kisumu,6.4093102
1989-07-01,Kisumu,7.0776652
1989-08-01,Kisumu,4.5325616
1989-09-01,Kisumu,7.3152436
1989-10-01,Kisumu,42.853835
1989-11-01,Kisumu,146.57766
