date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
1981-01-01,1,51325,KE019,427.0,7.3723655,15.759407,,,,,59.59884,,,final
1981-01-11,1,51325,KE019,427.0,4.3255267,19.29477,,,,,38.38492,,,final
1981-01-21,1,51325,KE019,427.0,5.5690866,16.265417,17.26698,51.319595,,,49.700817,39.536823,,final
1981-02-01,1,51325,KE019,427.0,5.882904,12.719282,15.777517,48.27947,,,61.418427,38.99723,,final
1981-02-11,1,51325,KE019,427.0,17.180328,18.768618,28.632318,47.75332,,,93.3177,63.753933,,final
1981-02-21,1,51325,KE019,427.0,3.142857,11.827791,26.206089,43.315693,,,48.389336,64.5879,,final
1981-03-01,1,51325,KE019,427.0,14.15925,29.22014,34.482437,59.81655,,,55.988228,60.914127,,final
1981-03-11,1,51325,KE019,427.0,66.76581,28.629663,84.06792,69.6776,,,213.40031,119.26993,,final
1981-03-21,1,51325,KE019,427.0,141.1288,41.624825,222.05386,99.47463,265.52692,194.10991,313.41415,217.3292,135.86813,final
1981-04-01,1,51325,KE019,427.0,105.70726,73.95238,313.60187,144.20686,363.86182,252.30289,140.22029,213.5303,143.35706,final
1981-04-11,1,51325,KE019,427.0,162.60422,71.15941,409.44028,186.73662,522.1405,304.16754,220.07027,216.15083,170.50319,final
1981-04-21,1,51325,KE019,427.0,42.850117,84.53724,311.1616,229.64902,559.4215,372.43936,53.441586,134.73808,149.53964,final
1981-05-01,1,51325,KE019,427.0,118.25527,68.00289,323.7096,223.69952,671.7939,427.72296,168.83615,143.7299,156.4035,final
1981-05-11,1,51325,KE019,427.0,93.20141,59.47049,254.3068,212.01062,747.815,468.42484,152.31993,119.49037,159.01468,final
1981-05-21,1,51325,KE019,427.0,17.763466,44.92303,229.22015,172.39641,762.4356,501.52005,45.597122,132.03207,151.5114,final
1981-06-01,1,51325,KE019,427.0,15.339579,23.011553,126.30445,127.405075,763.61597,495.3115,72.61139,99.16874,153.62749,final
1981-06-11,1,51325,KE019,427.0,5.941452,17.591335,39.044495,85.52592,702.7916,484.27316,48.43207,48.65402,144.66185,final
1981-06-21,1,51325,KE019,427.0,29.215456,15.58993,50.496487,56.192818,590.8783,458.23825,166.17567,90.69118,128.63322,final
1981-07-01,1,51325,KE019,427.0,10.557377,15.420843,45.714283,48.602108,495.72833,399.70673,76.183815,94.61248,123.72623,final
1981-07-11,1,51325,KE019,427.0,33.22248,15.31413,72.995316,46.3249,366.34656,343.86145,188.15714,151.96388,106.44529,final
1981-07-21,1,51325,KE019,427.0,40.957844,20.081108,84.7377,50.816082,364.45435,279.4053,183.2369,160.77393,129.90416,final
1981-08-01,1,51325,KE019,427.0,34.76581,17.102888,108.94614,52.498127,280.96484,228.50531,179.91226,198.17366,122.4661,final
1981-08-11,1,51325,KE019,427.0,17.36534,17.328728,93.08899,54.512726,205.1288,186.36354,100.16396,164.82019,109.806076,final
1981-08-21,1,51325,KE019,427.0,15.84075,22.460423,67.9719,56.892036,203.20609,163.90094,75.89377,117.901924,123.27112,final
1981-09-01,1,51325,KE019,427.0,9.358314,14.573692,42.564404,54.362843,197.22481,155.46307,73.35516,80.12487,126.02576,final
1981-09-11,1,51325,KE019,427.0,11.793911,13.288603,36.992973,50.322716,203.07727,151.16034,91.827194,75.90548,133.24591,final
1981-09-21,1,51325,KE019,427.0,37.91569,13.700781,59.067917,41.563076,211.77751,149.2712,229.48608,137.59383,140.51717,final
1981-10-01,1,51325,KE019,427.0,21.295082,28.760422,71.004684,55.749805,222.51523,162.61076,77.88731,125.11099,135.74022,final
1981-10-11,1,51325,KE019,427.0,28.861826,37.33669,88.0726,79.79789,218.15459,184.63333,79.98222,109.75816,117.67688,final
1981-10-21,1,51325,KE019,427.0,62.957844,52.245045,113.114746,118.342155,240.15457,216.79727,118.71393,95.76186,110.53092,final
1981-11-01,1,51325,KE019,427.0,26.358315,58.538406,118.177986,148.12013,231.74707,258.2328,49.35332,80.44533,89.938286,final
1981-11-11,1,51325,KE019,427.0,33.088993,57.211945,122.40515,167.99539,247.4707,298.116,61.224567,73.64656,83.29178,final
