feature,importance
price_roll_mean_4,0.9514650023303025
price_lag_1,0.01574387199914361
price_change_4w,0.01377127240189484
price_roll_std_4,0.008767519245125614
price_change_1w,0.007400020712045691
price_roll_mean_8,0.0011224518839808655
price_lag_4,0.0008384590332387563
price_lag_2,0.00026213611717791266
price_roll_mean_12,8.535157883396026e-05
week_sin,5.439696976909114e-05
price_roll_std_8,4.918175209170064e-05
price_roll_std_12,4.144839624317848e-05
rainfall_anomaly_pct,4.1347262404342174e-05
year,3.5586762467423835e-05
rainfall_mm,3.420153214747578e-05
price_lag_8,3.255713126440541e-05
week_cos,2.7061119496514735e-05
rainfall_cum_3m,2.3015159540300993e-05
market_enc,2.2000769155758266e-05
rainfall_lag_3m,2.0407572508556956e-05
rainfall_lag_1m,1.943356288986952e-05
rainfall_lag_2m,1.930219921268114e-05
dayofyear,1.8938977142444555e-05
week,1.363987918595334e-05
month_cos,1.0877290339729939e-05
commodity_enc,1.080680007170703e-05
month_sin,7.206140034811615e-06
month,6.082012647744363e-06
region_type_enc,5.384403190536866e-06
is_flood,4.060836902473113e-06
dap_price_lag_1m,4.054835936504689e-06
market_type_enc,3.894780845173728e-06
dap_price_lag_3m,3.817896692450289e-06
dap_price_change_3m,3.7141946372510698e-06
quarter,3.4880767365614435e-06
rain_x_perishable,3.41299923751015e-06
dap_price_change_1m,3.4040883211561395e-06
dap_price_kes,3.3016676921578427e-06
dap_price_lag_2m,3.1589835713359925e-06
is_short_rains,2.5334112456206767e-06
is_harvest,2.175622155470861e-06
is_end_month,1.9000883024829006e-06
is_rainy_season,1.776124605165119e-06
is_drought,1.7144944297745886e-06
is_long_rains,1.5068386458296777e-06
category_enc,1.2263297757547302e-06
is_december,7.568124911668816e-07
is_perishable,7.345299215756776e-07
drought_x_perishable,4.063943066602248e-07
